No,Nama,Alamat,Tipe,Status,Harga (Juta),Luas Bangunan (m2),Luas Tanah (m2),Jenis Sertifikat,Link,Lokasi,,Mapid form Submitted = 48,LatLong,catatan,PZ,Foto,
1,Ruko Jl Magelang,"Jl Magelang Km 11, Dukuh, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta",Ruko,Jual,3900,300,328,HM,https://www.rumah123.com/properti/sleman/shs4502928/,,,FALSE,,belum ada lokasi,,,
3,Ruko Ruang Usaha ,"Jl Kaliurang Km 18, Umbulmartani, Ngemplak, Sleman, Daerah Istimewa Yogyakarta",Ruko,Jual,5000,330,962,HGB,https://www.rumah123.com/properti/sleman/css4537063/,,,FALSE,,belum ada lokasi,,,
23,Abiyya Town House,"Abiyya Town House, Jl. Kaliurang Jl. Bias, Gadingan, Sinduharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,190,25,25,HM,Abiyya Town House - Google Maps,,,TRUE,"-7.712783121590344, 110.40560544417549",,,"23/cmubs8h3pgjmpmvbrkq5
23/ozaw1dxifriotp8juwbl",
38,Altuz,"Jl. Seturan Raya No.10A, Kledokan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Apartemen,Jual,600,27,27,HGB,"https://www.google.com/maps/place/Altuz+Apartment+Seturan+Yogyakarta/@-7.7719258,110.4077374,661m/data=!3m2!1e3!4b1!4m9!3m8!1s0x2e7a59ae4763b97f:0x2e75a4701ead2061!5m2!4m1!1i2!8m2!3d-7.7719311!4d110.4103123!16s%2Fg%2F11l1yxdvyd?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7716919185644535, 110.4102371981543",,,"38/f2o1vyz1o1iupok1xd9o
38/osshaxuiqjg22qrnak1n
38/n46asx7qqc6axxfbsdbc
38/m9psqufakpzwbdgllztz",
28,Arshaka Townhouse,"Wadas Tridadi, Sleman Regency, Special Region of Yogyakarta, Indonesia
Sleman, Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,575,70,98,HM,"https://www.google.com/maps/place/ARSHAKA+TOWN+HOUSE+by+SANGKARA+Project+Constructions/@-7.7000467,110.346965,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5f0040218b91:0x7a375a1f2526a774!8m2!3d-7.700052!4d110.3495399!16s%2Fg%2F11lcx64lgj?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.699823409900655, 110.34945406931922",,,"28/hpn4raajjtq47rupv1st
28/o1cq5kgdez7afkky6kjt
28/xcd7efrlq8ngc0nyjqae
28/mssatt9dktqitcen03ik
28/bux82tv83yxdracmzmh8
28/v78vjlo1l1hzspxwvitl",
7,Rumah Asri,"Jl. Tunjungan Raya, Tirtomartani, Kalasan, Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,635,60,112,HM,,"https://www.google.com/maps/place/7%C2%B045'17.5%22S+110%C2%B028'32.0%22E/@-7.7542877,110.4737241,467m/data=!3m1!1e3!4m4!3m3!8m2!3d-7.754859!4d110.4755419?hl=en&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,FALSE,"-7.754611937117604, 110.47556945963689",rumahnya belum jadi?,,,
45,Axel Jaya Gafindo,"Jl. Magelang KM.11 No.39, Beran Lor, Tridadi, Kec. Sleman, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55511",Ruko,Jual,2100,452,226,HM,,,,TRUE,"-7.7137466,110.3592118",,,"45/xhz1bzcoxidsxbrlaoaf
45/puyii99dflvgplnm7ryy
45/swi5v3fozg88x22y97cp",
37,Barsa City,"Jl. Laksda Adi Sutjipto Km. 7, Flyover, Janti, Caturtunggal, Kec. Depok, Kabupaten Sleman, Yogyakarta, Daerah Istimewa Yogyakarta 55281",Apartemen,Jual,635,23,23,HM,"https://www.google.co.id/maps/place/Apartemen+Barsa+City+By+The+City+Space/@-7.7809847,110.4120811,17z/data=!4m15!1m8!3m7!1s0x2e7a5938f2e49c0d:0xc841dc9c624f32f3!2sApartemen+Barsa+City+By+The+City+Space!8m2!3d-7.7810176!4d110.4121924!10e5!16s%2Fg%2F11w9h4d4gd!3m5!1s0x2e7a5938f2e49c0d:0xc841dc9c624f32f3!8m2!3d-7.7810176!4d110.4121924!16s%2Fg%2F11w9h4d4gd?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7808518243088916, 110.41216693068078",,,"37/ojurakndu7ibz7l3tpfs
37/zrlvw08kt2wi76prbnnr
37/l7jvvftouwvvhhuopolo
37/wxoiorzkzcypfowfynlq
37/cwyiogahjpbrruv9n92s",
10,Ruko Wahid Hasyim,"Jl. Manggis No.51, Nologaten, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Ruko,Jual,25000,,271,HM,,"https://www.google.com/maps/place/Cleansy+Laundry/@-7.7733542,110.4006173,3a,75y,146.62h,67.23t/data=!3m7!1e1!3m5!1sBsaAgnrasc3ydTimaKvzxw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D22.769624483884613%26panoid%3DBsaAgnrasc3ydTimaKvzxw%26yaw%3D146.61764715261808!7i16384!8i8192!4m14!1m7!3m6!1s0x2e7a599bb58b53d3:0x1587ecde671bdf5d!2sCleansy+Laundry!8m2!3d-7.7734064!4d110.4005129!16s%2Fg%2F11sfq6rp98!3m5!1s0x2e7a599bb58b53d3:0x1587ecde671bdf5d!8m2!3d-7.7734064!4d110.4005129!16s%2Fg%2F11sfq6rp98?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,FALSE,"-7.773225678018718, 110.40053435138348",gaada luas bangunan,,,
61,Borneo Mart,"Jl. Seturan Raya No.189, Ngropoh, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Ruko,Jual,9900,480,200,HM,"-7.7627051,110.4118345",,,TRUE,,,,61/cmzn8eg3njqcullc7xr3,
12,CV Yussuf & Co,"Jl. Melati No.15, Nanggulan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Gudang,Jual,7700,1100,1400,HM,"https://www.google.com/maps/place/CV+Yussuf+%26+Co/@-7.7760474,110.4320849,13z/data=!4m17!1m10!3m9!1s0x2e7a5a1eb55dd48b:0x1c704156d9fedb1b!2sCV+Yussuf+%26+Co!8m2!3d-7.7760474!4d110.4320849!10e5!14m1!1BCgIgAQ!16s%2Fg%2F11f3wct0ys!3m5!1s0x2e7a5a1eb55dd48b:0x1c704156d9fedb1b!8m2!3d-7.7760474!4d110.4320849!16s%2Fg%2F11f3wct0ys?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.772220518206477, 110.43311486816943",,,"12/f9xtexwbfuncpezm4whd
12/edkxqsyd3cvqruedkzjj
12/ajazhevt0reedzgqxsye",
15,Damara Village,"Jl. Prawiro Sudiyono, Sanggrahan, Sendangadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55285",Rumah,Jual,3.793,146,176,HM,"https://www.google.com/maps/place/Damara+Village+Palagan+Jogja/@-7.7296651,110.3671408,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5907d444f70b:0x67c5fabdf19d1b79!8m2!3d-7.7296704!4d110.3697157!16s%2Fg%2F11h67jx9v9?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.729473719974676, 110.36975861534043",harusnya rumah daerah sini punya si Manoots,,"15/gjmc96z4s0n465vdgix2
15/tvtnk6jnfengwdtnhfh6",
53,Dkriuk Kebon Agung,"Jl. Kebon Agung, Mriyan, Margomulyo, Kec. Seyegan, Yogyakarta, Daerah Istimewa Yogyakarta 55561",Ruko,Jual,2500,200,242,HM,"-7.7270538,110.3179203",,,TRUE,"-7.7270538,110.3179203",,,"53/qxamtshk2eslin6hmrhd
53/fritnzqm95no4dqo6nft
53/es7v9zxrqatsuwdarkxv",
29,Green Hills Residence,"Green Hills Residence, Drono, Sardonoharjo, Kec. Ngaglik, Yogyakarta, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,2600,180,186,HM,"https://www.google.co.id/maps/place/Green+Hills+Residence/@-7.7237716,110.3884352,17z/data=!4m15!1m8!3m7!1s0x2e7a593922271021:0xf93717a21d314d3d!2sJl.+Kapten+Haryadi,+Kec.+Ngaglik,+Kabupaten+Sleman,+Daerah+Istimewa+Yogyakarta+55581!3b1!8m2!3d-7.7237769!4d110.3910101!16s%2Fg%2F11b6ybsjb0!3m5!1s0x2e7a593aeaf01b35:0x9b877c604f88c80f!8m2!3d-7.7222564!4d110.3913397!16s%2Fg%2F1ptwyyh36?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.722107767169167, 110.39133198547654",,,"29/kocnrjzxjmgsolek0roh
29/sffaous7bl1lqq00apth
29/fgeewg2dw6svf5mwhfcf
29/t76f84qj8x29pbou45ch
29/t1lcwg3wr9ttzk0bu8uj",
41,Green Park ,"Jl. Baladewa, Glendongan, Tambak Bayan, Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Apartemen,Jual,900,49,49,Lainnya,"https://www.google.com/maps/place/Green+Park+Apartment/@-7.7745247,110.4157271,661m/data=!3m2!1e3!4b1!4m6!3m5!1s0x2e7a59f34769ef97:0x41c4ce022295419e!8m2!3d-7.77453!4d110.418302!16s%2Fg%2F11b6hwcty5?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.77435460137997, 110.41830200000001",sertifikat lainnya (PPJB),,"41/zegtiapvnfqx27iyyeny
41/pschb8awd2lv80815b1r
41/cj2kypbjrija9idok7jr
41/ithrtaji2hbkvrmbsdhu",
47,Gudang Oleh-Oleh,"Tegal Domban, Margorejo, Kec. Tempel, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55552",Gudang,Jual,12000,1200,1800,HM,,,,TRUE,"-7.6624115,110.3268787",,,47/q684mc3bylwuvfuryzkb,Strata Title Pertama Terbit di DIY 
18,Gudang Prambanan,"Jl. Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",Gudang,Jual,7000,850,1523,HM,"https://www.google.com/maps/@-7.760541,110.4884644,0a,75y,114.81h,89.03t/data=!3m4!1e1!3m2!1snqzanYIuw8atK7tkhFOk7Q!2e0?utm_source=mstt_0&g_ep=CAESCTExLjQ1LjYwMxgAIP___________wEqAEICSUQ%3D&hl=id",,,TRUE,"-7.7605524,110.4884367",Kualitas gambarnya,,18/fghuyapqvbvlvswh31qm,
19,Karta Kirana,"Jl. Roro Jonggrang No.26-22, Sidodadi, Tlogo, Kec. Prambanan, Kabupaten Klaten, Jawa Tengah 57454",Rumah,Jual,615,36,90,HM,Karta Kirana Residence 2 Tlogo prambanan - Google Maps,,,FALSE,"-7.752497607642048, 110.4982291576702",Masuknya klaten tapi deket perbatasan,,,
51,Homwok Godean,"Jl. Kabupaten No.36, Area Sawah, Nogotirto, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55592",Ruko,Jual,1650,105,83,HGB,"-7.7777044,110.3389519",,,TRUE,,,,"51/y4xnjem4yrmvs16cwml5
51/mofv6ylzcjse5fg0gj0p
51/byygdjsirq3lbgk9lrug",
32,Hyarta Ecovillage,"Jl. Laksda Adisucipto km 8,5, Nayan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55282",Rumah,Jual,3800,125,160,HGB,"https://www.google.co.id/maps/place/Hyarta+Ecovillage/@-7.7833067,110.4256114,18.53z/data=!4m6!3m5!1s0x2e7a5b9635807bf1:0x89b4026fb73dd0d!8m2!3d-7.7831955!4d110.4264881!16s%2Fg%2F11hz9d88r4?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7833067,110.4256114",,,"32/yua1ppaxk6updsz20ot8
32/q2shzcnatlvly6ryxmch
32/ufqujmpo9px7s9dcihe5
32/eu60eru2qkvc4dyfb6us
32/qivv6srgrhgylmbmtgba
32/llzjol1rnov3kloyd3pb
32/ildsbar9pkrpkunipwj3
32/caqdyle2vc6osls9y4ws",
5,KARTA VIRENDRA NEW,"Kalitirto, Berbah, Sleman, Daerah Istimewa Yogyakarta",Rumah,Jual,564,36,85,HM,https://www.rumah123.com/properti/sleman/hos19322256/,https://maps.app.goo.gl/Umi7TAQssinxDyDz8?g_st=awb,,TRUE,"-7.794651709874188, 110.45528481534036",,,"5/unwzpwhqz3clo7lipr4l
5/cdbvkr5yrhcwgjtl91ok
5/gbtrevrcxmwbah0hccb8
5/kdpnwoyog6bfmeu1y29w
5/ddrobkbcargnnq9v031f
5/lz6mcwaconhu2xiubxvd",
17,Mataram City,"Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Apartemen,Jual,650,34,34,Lainnya,"https://www.google.com/maps/dir//Jl.+Palagan+Tentara+Pelajar+No.KM.+7,+Mudal,+Sariharjo,+Kec.+Ngaglik,+Kabupaten+Sleman,+Daerah+Istimewa+Yogyakarta+55581/@-7.7392765,110.2948795,21146m/data=!3m1!1e3!4m8!4m7!1m0!1m5!1m1!1s0x2e7a592cb4a9bec3:0x4a90a2346dd9f452!2m2!1d110.3772814!2d-7.7392844?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.738912303323788, 110.37728139371265",Jenis sertif Lainnya tetep harus ditulis,,"17/m12tdy2iifu1fcmljiin
17/ge0qzubihh6njoljyrzh
17/gmg0yonym2tusqwh9ain
17/twca9ckhctblreyls6ca",
22,Mataram City Yogyakarta (MICC),"Jl. Palagan Tentara Pelajar No.KM. 7, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Apartemen,Jual,750,37,37,HGB,"https://www.google.com/maps/place/Mataram+City+Yogyakarta+(MICC)/@-7.7392791,110.3747065,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a592cb4a9bec3:0x4a90a2346dd9f452!8m2!3d-7.7392844!4d110.3772814!16s%2Fg%2F1pzpyfc7v?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7390770933438, 110.3773135865053",,,"22/r7ufy6mt5ij0liw9luq9
22/en4l4mncqwdu12jvuuy8
22/bwzedhf2idezjf9fscme
22/znnqfndd84dpmgvcderg
22/xemrvnbbrpbny0ibiyus",
13,Pabrik Asbes Teraflex,"Jl. Solo No.Km 12,5, Karang Kalasan, Tirtomartani, Kec. Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55571",Gudang,Jual,16800,7181,10284,HM,"https://www.google.com/maps/place/Pabrik+Asbes+Teraflex/@-7.7744635,110.4576491,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a5b00775a7bbd:0x27653eadd185d326!8m2!3d-7.7744688!4d110.460224!16s%2Fg%2F11lmbx9pgy?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.7742934013543765, 110.460224",,,"13/i2eororfs0ms1ghgz7op
13/lt2zwvhdkvivsszoozse
13/cknupuo8nhj4a7ab3hyz
13/kc54y7y2unogmaiegjg8
13/qsmsupocd7dczwcsnsgf",
26,Rumah Drg Desti,"JL. Ringroad Utara, No. 17, Karangnangka Sleman, Warak Kidul, Sumberadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55288",Rumah,Jual,850,200,200,Lainnya,"https://www.google.com/maps/place/Drg.+Desti+Anna+Damayanti/@-7.7161462,110.3329227,661m/data=!3m2!1e3!4b1!4m6!3m5!1s0x2e7a58ab474bb11f:0x5819b94baf1bee22!8m2!3d-7.7161515!4d110.3354976!16s%2Fg%2F1pzsd9g1q?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,FALSE,,,,,
27,Apartemen Seturan Vivo,"Vivo Apartment Seturan (DAYNA STAY ROOM), Jalan Amarta Jalan Seturan Raya, Kledokan, Caturtunggal, Sleman Regency, Special Region of Yogyakarta, Indonesia
Depok, Sleman, Daerah Istimewa Yogyakarta",Apartemen,Jual,425,"24,5","24,5",Lainnya,"https://www.google.com/maps/place/Vivo+Apartment+Seturan+(DAYNA+STAY+ROOM)/@-7.7673386,110.4096,17z/data=!3m1!4b1!4m6!3m5!1s0x2e7a596e55ee1a93:0xcdac3b12487abbf1!8m2!3d-7.7673439!4d110.4121749!16s%2Fg%2F11vdqbzg_y?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,FALSE,"-7.7438321,110.3274814",,,,
25,Pastika Palagan Residence,"Jl. Sadewa Palagan Tentara Pelajar KM 7,8, , Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,1200,110,125,HM,"https://www.google.com/maps/place/Pastika+Palagan+Residence+2/@-7.7290507,110.3778704,98m/data=!3m1!1e3!4m10!1m2!2m1!1spastika+palagan+residence+3+jl+sadewa+palagan!3m6!1s0x2e7a5907c4fc99f7:0xd2d695f577ed2ab6!8m2!3d-7.7289628!4d110.378424!15sCi1wYXN0aWthIHBhbGFnYW4gcmVzaWRlbmNlIDMgamwgc2FkZXdhIHBhbGFnYW6SAQ9ob3VzaW5nX2NvbXBsZXjgAQA!16s%2Fg%2F11jfpmfjn_?hl=id&entry=ttu&g_ep=EgoyMDI1MDIyNi4xIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.728911163300157, 110.37842829942511",,,"25/qhrpp02x9tqsnkipjntx
25/vdn6ktdcqapovxvvixgu
25/fume5ywdnkhhu1tiqhqy
25/h7p0vjlgqmerabeuootu",
43,Pastika Palagan Residence 3 Blok A1,"79GJ+345, Jl. Palagan Tentara Pelajar Jl. Sadewa, Tegal Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,1500,110,125,HM,,,,TRUE,"-7.7251477,110.3803568",,,"43/emoyxf5etqtpfszex8ob
43/fpniiq6tk5ccbams2mmk
43/ejexpzkw25byfruxyfmh
43/d4gb6buovrsk0z1wqx3q
43/eo51mk1woualxdupznc3",
64,Patra Residence Palagan,"Jl. Palagan Tentara Pelajar No.Km 10, Tambak Rejo, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Rumah,Jual,"4390,5",180,200,HM,"-7.7129074,110.3834002",,,,"-7.7129074,110.3834002",,,"64/y2bjtdvaavxlzjrsenit
64/txljdu0j73zqn6hfpi97
64/dtiovnboucjc0fj2nx0d
64/uzik71lew42wds8wys1d",
40,Patraland Amarta,"Jl. Palagan Tentara Pelajar No.KM 7, RW.5, Mudal, Sariharjo, Kec. Ngaglik, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55581",Apartemen,Jual,600,28,28,Lainnya,"https://www.google.com/maps/place/Patraland+Amarta+Apartemen/@-7.73456,110.378365,661m/data=!3m1!1e3!4m6!3m5!1s0x2e7a58dffd6be873:0x532c76d444b5102!8m2!3d-7.73456!4d110.378365!16s%2Fg%2F11b6rvvy0k?hl=id&entry=ttu&g_ep=EgoyMDI1MDMwNC4wIKXMDSoJLDEwMjExNDU1SAFQAw%3D%3D",,,TRUE,"-7.734331428556337, 110.37842937301062",sertifikat lainnya (SHMSRS),,"40/crgsz7flei9m1vx2fjpq
40/pdntp8t78rcudvgbkajv
40/mggyvnulac0fd5ylg2fc
",
48,Perum Bimomartani,"Jl. Cangkringan No.52, Area Sawah, Bimomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584",Rumah,Jual,450,45,99,HM,,,,TRUE,"-7.6994604,110.4565283",,,"48/rizujajctoldlrhv3ok1
48/zcc0pddni5da8nemgkbj
48/gfu6bjsrzzx5b5z6ivks
48/scpwisxyiydwcoy2vglz
48/esrprjfnayj4s8grlcng
48/w1qmt0u6zkhkhjvdbmos",
